SECURITY_TYPE;TYPE;SECID;SHORTNAME;NAME;REGNUMBER;PRIMARY_BOARDID;FACEVALUE;FACEUNIT;ISIN
Биржевая облигация;exchange_bond;RU000A102RC0;СберИОС417;СберИОС 001Р-417R 5Г ВЗР ИНД;TQCB;1000;RUB;RU000A102RC0
Биржевая облигация;exchange_bond;RU000A102RD8;СберИОС419;СберИОС 001Р-419R 5Г РБЧ;TQCB;1000;RUB;RU000A102RD8
Биржевая облигация;exchange_bond;RU000A102RE6;СберИОС421;СберИОС 001Р-421R 5Y СМШ;TQCB;1000;RUB;RU000A102RE6
Биржевая облигация;exchange_bond;RU000A102RA4;СберИОС414;СберИОС 001Р-414R 7Г БТЕХ ИНД;TQCB;1000;RUB;RU000A102RA4
Биржевая облигация;exchange_bond;RU000A102SU0;СберИОС420;СберИОС 001Р-420R 5Y СМШ;TQCB;1000;RUB;RU000A102SU0
Биржевая облигация;exchange_bond;RU000A102TD4;СберИОС423;СберИОС 001Р-423R 5Г МФН;TQCB;1000;RUB;RU000A102TD4
Биржевая облигация;exchange_bond;RU000A102TH5;СберИОС425;СберИОС 001Р-425R 7Г РБЧ;TQCB;1000;RUB;RU000A102TH5
Биржевая облигация;exchange_bond;RU000A102UC4;СберИОС413;СберИОС 001Р-413R 5Г НГ;TQCB;1000;RUB;RU000A102UC4
Биржевая облигация;exchange_bond;RU000A102V69;СберИОС410;СберИОС 001Р-410R 5Г МФН;TQCB;1000;RUB;RU000A102V69
Биржевая облигация;exchange_bond;RU000A102VD0;СберИОС426;СберИОС 001Р-426R 7Г СШАМ ИНД;TQCB;1000;RUB;RU000A102VD0
Биржевая облигация;exchange_bond;RU000A102W50;СберИОС430;СберИОС 001Р-430R 7Г СШАМ ИНД;TQCB;1000;RUB;RU000A102W50
Биржевая облигация;exchange_bond;RU000A102WA4;СберИОС404;СберИОС 001Р-404R 5Г ВП;TQCB;1000;RUB;RU000A102WA4
Биржевая облигация;exchange_bond;RU000A102WB2;СберИОС429;СберИОС 001Р-429R 5Г СШАМ ИНД;TQCB;1000;RUB;RU000A102WB2
Биржевая облигация;exchange_bond;RU000A102WC0;СберИОС431;СберИОС 001Р-431R 5Г РБЧ;TQCB;1000;RUB;RU000A102WC0
Биржевая облигация;exchange_bond;RU000A102X26;СберИОС432;СберИОС 001Р-432R 5Y СМШ;TQCB;1000;RUB;RU000A102X26
Биржевая облигация;exchange_bond;RU000A102YH5;Сбер Sb26R;Сбербанк ПАО 001Р-SBER26;TQCB;1000;RUB;RU000A102YH5
Биржевая облигация;exchange_bond;RU000A102ZZ4;СберИОС433;СберИОС 001Р-433R 5Y СМШ;TQCB;1000;RUB;RU000A102ZZ4
Биржевая облигация;exchange_bond;RU000A1031G2;СберИОС412;СберИОС 001Р-412R 5Y СМШ;TQCB;1000;RUB;RU000A1031G2
Биржевая облигация;exchange_bond;RU000A103216;СберИОС442;СберИОС 001Р-442R 5Г ТОВ КРЗ;TQCB;1000;RUB;RU000A103216
Биржевая облигация;exchange_bond;RU000A103273;СберИОС437;СберИОС 001Р-437R 5Г SBRIF ИНД;TQCB;1000;RUB;RU000A103273
Биржевая облигация;exchange_bond;RU000A103281;СберИОС405;СберИОС 001Р-405R 5Г ВП;TQCB;1000;RUB;RU000A103281
Биржевая облигация;exchange_bond;RU000A1032C9;СберИОС439;СберИОС 001Р-439R 7Г СШАМ ИНД;TQCB;1000;RUB;RU000A1032C9
Биржевая облигация;exchange_bond;RU000A1032K2;СберИОС438;СберИОС 001Р-438R 5Г SBRIF ИНД;TQCB;1000;RUB;RU000A1032K2
Биржевая облигация;exchange_bond;RU000A1032L0;СберИОС440;СберИОС 001Р-440R 7Г СШАМ ИНД;TQCB;1000;RUB;RU000A1032L0
Биржевая облигация;exchange_bond;RU000A1032N6;СберИОС436;СберИОС 001Р-436R 5Y СМШ;TQCB;1000;RUB;RU000A1032N6
Биржевая облигация;exchange_bond;RU000A103539;СберИОС445;СберИОС 001Р-445R 5Y СМШ;TQCB;1000;RUB;RU000A103539
Биржевая облигация;exchange_bond;RU000A103588;СберИОС446;СберИОС 001Р-446R 5Г SBRIF ИНД;TQCB;1000;RUB;RU000A103588
Биржевая облигация;exchange_bond;RU000A103596;СберИОС447;СберИОС 001Р-447R 7Г РБЧ;TQCB;1000;RUB;RU000A103596
Биржевая облигация;exchange_bond;RU000A1027B1;СберИОС349;СберИОС 001Р-349R 5Г СМШ;TQCB;1000;RUB;RU000A1027B1
Биржевая облигация;exchange_bond;RU000A1038U8;Сбер Sb28R;Сбербанк ПАО 001Р-SBER28;TQCB;1000;RUB;RU000A1038U8
Биржевая облигация;exchange_bond;RU000A103968;СберИОС401;СберИОС 001Р-401R 5Г SBERESGR;TQCB;1000;RUB;RU000A103968
Биржевая облигация;exchange_bond;RU000A103976;СберИОС416;СберИОС 001Р-416R 7Г ВЗР ИНД;TQCB;1000;RUB;RU000A103976
Биржевая облигация;exchange_bond;RU000A103AM3;СберИОС435;СберИОС 001Р-435R 5Г SBERESGR;TQCB;1000;RUB;RU000A103AM3
Биржевая облигация;exchange_bond;RU000A103AP6;СберИОС449;СберИОС 001Р-449R 7Г РБЧ-М;TQCB;1000;RUB;RU000A103AP6
Биржевая облигация;exchange_bond;RU000A103AF7;СберИОС450;СберИОС 001Р-450R 5Y СМШ;TQCB;1000;RUB;RU000A103AF7
Биржевая облигация;exchange_bond;RU000A103C87;СберИОС454;СберИОС 001Р-454R 5Y СМШ;TQCB;1000;RUB;RU000A103C87
Биржевая облигация;exchange_bond;RU000A103CP2;СберИОС455;СберИОС 001Р-455R 7Г РБЧ-М;TQCB;1000;RUB;RU000A103CP2
Биржевая облигация;exchange_bond;RU000A103CR8;СберИОС456;СберИОС 001Р-456R 5Г DEF ИНД;TQCB;1000;RUB;RU000A103CR8
Биржевая облигация;exchange_bond;RU000A103F92;СберИОС457;СберИОС 001Р-457R 5Г SBRIF ИНД;TQCB;1000;RUB;RU000A103F92
Биржевая облигация;exchange_bond;RU000A103FA7;СберИОС458;СберИОС 001Р-458R 7Г РБЧ-М;TQCB;1000;RUB;RU000A103FA7
Биржевая облигация;exchange_bond;RU000A103FM2;СберИОС460;СберИОС 001Р-460R 5Г ПРОД;TQCB;1000;RUB;RU000A103FM2
Биржевая облигация;exchange_bond;RU000A103G59;Сбер Sb30R;Сбербанк ПАО 001Р-SBER30;TQCB;1000;RUB;RU000A103G59
Биржевая облигация;exchange_bond;RU000A103H66;Сбер Sb34R;Сбербанк ПАО 001Р-SBER34;TQCB;1000;RUB;RU000A103H66
Биржевая облигация;exchange_bond;RU000A103HE5;СберИОС461;СберИОС 001Р-461R 7Г РБЧ-М;TQCB;1000;RUB;RU000A103HE5
Биржевая облигация;exchange_bond;RU000A103JB7;СберИОС462;СберИОС 001Р-462R 5Г SBRIF ИНД;TQCB;1000;RUB;RU000A103JB7
Биржевая облигация;exchange_bond;RU000A103JQ5;СберИОС402;СберИОС 001Р-402R 5Г ПРОД;TQCB;1000;RUB;RU000A103JQ5
Биржевая облигация;exchange_bond;RU000A103LD9;СберИОС463;СберИОС 001Р-463R 5Г SBRIF ИНД;TQCB;1000;RUB;RU000A103LD9
Биржевая облигация;exchange_bond;RU000A103LE7;СберИОС464;СберИОС 001Р-464R 7Г РБЧ-М;TQCB;1000;RUB;RU000A103LE7
Биржевая облигация;exchange_bond;RU000A103LF4;СберИОС465;СберИОС 001Р-465R 5Г ПРОД;TQCB;1000;RUB;RU000A103LF4
